Year_Location,Year,LocationAbbr,LocationDesc,Data_Value,Age,State_Tax
2001AL,2001,AL,Alabama,23.2,45 to 64 Years,0.165
2001AL,2001,AL,Alabama,25.1,18 to 24 Years,0.165
2001AL,2001,AL,Alabama,9,65 Years and Older,0.165
2006AL,2006,AL,Alabama,9.7,65 Years and Older,0.425
2006AL,2006,AL,Alabama,25,18 to 24 Years,0.425
2006AL,2006,AL,Alabama,25.9,45 to 64 Years,0.425
2006AL,2006,AL,Alabama,27.2,25 to 44 Years,0.425
2004AL,2004,AL,Alabama,12.1,65 Years and Older,0.425
2004AL,2004,AL,Alabama,26.3,45 to 64 Years,0.425
1998AL,1998,AL,Alabama,29.5,25 to 44 Years,0.165
1998AL,1998,AL,Alabama,25.5,45 to 64 Years,0.165
1998AL,1998,AL,Alabama,24.7,18 to 24 Years,0.165
1998AL,1998,AL,Alabama,12.8,65 Years and Older,0.165
2002AL,2002,AL,Alabama,12,65 Years and Older,0.165
2002AL,2002,AL,Alabama,24.3,45 to 64 Years,0.165
2002AL,2002,AL,Alabama,26.2,25 to 44 Years,0.165
2002AL,2002,AL,Alabama,35.5,18 to 24 Years,0.165
2004AL,2004,AL,Alabama,28.1,25 to 44 Years,0.425
2004AL,2004,AL,Alabama,29.1,18 to 24 Years,0.425
2003AL,2003,AL,Alabama,11.4,65 Years and Older,0.165
2003AL,2003,AL,Alabama,28,45 to 64 Years,0.165
2003AL,2003,AL,Alabama,28.4,25 to 44 Years,0.165
1999AL,1999,AL,Alabama,11.9,65 Years and Older,0.165
1999AL,1999,AL,Alabama,21.6,45 to 64 Years,0.165
1999AL,1999,AL,Alabama,28.5,25 to 44 Years,0.165
1999AL,1999,AL,Alabama,29.2,18 to 24 Years,0.165
2007AL,2007,AL,Alabama,24.7,45 to 64 Years,0.425
2007AL,2007,AL,Alabama,25.1,25 to 44 Years,0.425
2007AL,2007,AL,Alabama,29,18 to 24 Years,0.425
2007AL,2007,AL,Alabama,8.9,65 Years and Older,0.425
2008AL,2008,AL,Alabama,7.8,65 Years and Older,0.425
1996AL,1996,AL,Alabama,25.7,25 to 44 Years,0.165
1996AL,1996,AL,Alabama,24.5,45 to 64 Years,0.165
2008AL,2008,AL,Alabama,23.3,25 to 44 Years,0.425
2008AL,2008,AL,Alabama,26.1,45 to 64 Years,0.425
2008AL,2008,AL,Alabama,29.1,18 to 24 Years,0.425
1996AL,1996,AL,Alabama,12.7,65 Years and Older,0.165
1996AL,1996,AL,Alabama,21.8,18 to 24 Years,0.165
2000AL,2000,AL,Alabama,11.1,65 Years and Older,0.165
2000AL,2000,AL,Alabama,24,45 to 64 Years,0.165
2000AL,2000,AL,Alabama,30.5,25 to 44 Years,0.165
2000AL,2000,AL,Alabama,32.3,18 to 24 Years,0.165
2005AL,2005,AL,Alabama,26.6,45 to 64 Years,0.425
2005AL,2005,AL,Alabama,28.1,25 to 44 Years,0.425
2005AL,2005,AL,Alabama,31.5,18 to 24 Years,0.425
2005AL,2005,AL,Alabama,9.6,65 Years and Older,0.425
2009AL,2009,AL,Alabama,26.9,25 to 44 Years,0.425
2009AL,2009,AL,Alabama,25,18 to 24 Years,0.425
2009AL,2009,AL,Alabama,24.4,45 to 64 Years,0.425
2009AL,2009,AL,Alabama,10.5,65 Years and Older,0.425
2010AL,2010,AL,Alabama,16.4,18 to 24 Years,0.425
2010AL,2010,AL,Alabama,27.9,25 to 44 Years,0.425
2010AL,2010,AL,Alabama,24.3,45 to 64 Years,0.425
2010AL,2010,AL,Alabama,10.3,65 Years and Older,0.425
1997AL,1997,AL,Alabama,30.9,25 to 44 Years,0.165
1997AL,1997,AL,Alabama,25.3,45 to 64 Years,0.165
1997AL,1997,AL,Alabama,20,18 to 24 Years,0.165
1997AL,1997,AL,Alabama,13.9,65 Years and Older,0.165
2003AL,2003,AL,Alabama,29.4,18 to 24 Years,0.165
2001AL,2001,AL,Alabama,31,25 to 44 Years,0.165
